avg_monthly_volume,transaction_consistency,business_age_months,savings_ratio,loan_history_count,default_rate,mpesa_activity_score,customer_rating,transaction_count_30d,income_consistency_score,has_regular_income,negative_balance_days,credit_score
14706.678416035465,0.7122069369137436,11,0.41298671371282886,0,0.14564972226586972,0.56218505028156,2.5804470924719882,16,0.670426753363908,1,2,60.896043447317204
9082.919413059948,0.48131231963012167,8,0.12730831382665375,1,0.07425583057259573,0.6816419560649146,3.7421758588058798,18,0.8265696122213918,0,1,63.35822620185868
16293.92069379276,0.7944221352402262,8,0.23807453677070584,2,0.11108011941939912,0.32793093022321,3.4925621202913444,19,0.2912946050204189,0,2,62.924727333567404
9536.717192019853,0.5544551207342443,53,0.4628032719483706,3,0.011228282537071338,0.8019396564417838,2.4724119762182646,16,0.6904167524454746,1,3,75.21215257044362
810.3567166438111,0.47530587092176096,54,0.12909088671544552,2,0.14952044893824643,0.5236742364258001,3.7772986723565816,15,0.7193570759906466,1,2,60.57250975476434
6821.572693294449,0.5228843787727977,50,0.44612568979817296,3,0.009301205378580557,0.5183531362483166,4.0609707828084485,26,0.6168541486758105,0,1,83.54220429772991
9994.593885966158,0.4928201335136258,33,0.4163676329549591,1,0.11905668017135361,0.27241331642836975,4.255256109247334,19,0.4641670124074277,1,2,68.18301985439449
7991.230374957885,0.4752186592866059,29,0.3908523411758803,2,0.06795214551075147,0.4274083289336686,4.328711754431188,23,0.8605809435915736,1,5,70.18652488025464
25458.427742836717,0.8214322621030808,23,0.11461298368768448,2,0.005327697505928581,0.19649681974528782,3.7761781444214777,25,0.8073010244851861,1,1,84.2669412849922
1686.6554786783543,0.1772152250429279,9,0.3328286041528448,0,0.26168318304288907,0.7996750903146865,3.843282907261277,15,0.3977597821250915,1,1,52.799689901133014
8120.738143804682,0.46574041179101994,2,0.42351472955052966,2,0.08022913027489294,0.6927250244285127,3.5567836169738194,17,0.748334349427482,1,4,61.54880629106307
15710.497721239502,0.35631014326203647,39,0.26454132477439785,2,0.03737642783085811,0.1738942580380095,3.5943547046700925,20,0.7040519889218791,0,2,75.58578994477351
11961.183526207587,0.7329058018464908,46,0.3230407079761276,2,0.15172524130597403,0.5409845403382396,4.22882981160101,13,0.721484517611669,0,4,70.85541354339256
